Sex,EE,H2Omg,RQ,Animal_ID,Deg_C,weight,experiment,StartTime,SD_VCO2,SD_VO2,SD_H2Omg,VO2,VCO2,StartDate,FQ,block,hour
F,0.039713661707999996,3.734572,1.51778970569257,1015,33.37067,21.87,Low Fat,09:11:21,0.00626,0.0204,0.0496,0.1177816,0.1787677,2020-08-19,0.92266,cages13aug,9
F,0.040538565648,3.953048,1.5222004298898304,1015,32.89675,21.87,Low Fat,09:41:22,0.00964,0.0162,0.0881,0.1201238,0.1828525,2020-08-19,0.92266,cages13aug,9
F,0.032149725048000004,3.960879,1.9989873708381174,1015,33.00205,21.87,Low Fat,09:49:22,0.0132,0.0252,0.1538169,0.0871,0.1741118,2020-08-19,0.92266,cages13aug,9
F,0.043918425768,3.914989,1.332404970403346,1015,33.01517,21.87,Low Fat,10:25:22,0.0103,0.0207,0.1393602,0.1351842,0.1801201,2020-08-19,0.92266,cages13aug,10
F,0.047190875424,3.691148,1.450494868009346,1015,33.05318,21.87,Low Fat,10:41:22,0.0119,0.0156,0.0602,0.1418358,0.2057321,2020-08-19,0.92266,cages13aug,10
F,0.043299520487999996,3.495128,1.3486564858602421,1015,33.0945,21.87,Low Fat,11:21:22,0.013,0.0152,0.06,0.1328382,0.1791531,2020-08-19,0.92266,cages13aug,11
F,0.028680886584,3.252092,1.4448366164542294,1015,32.9959,21.87,Low Fat,11:45:22,0.00628,0.0229,0.0309,0.0863,0.1246894,2020-08-19,0.92266,cages13aug,11
F,0.047474957502,2.973667,1.3630343423798865,1015,33.01624,21.87,Low Fat,12:09:22,0.00965,0.0176,0.0309119,0.1452229,0.1979438,2020-08-19,0.92266,cages13aug,12
F,0.026617905383999996,2.662982,1.4328563634868954,1015,32.9604,21.87,Low Fat,12:41:22,0.00929,0.0214,0.0285,0.0802846,0.1150363,2020-08-19,0.92266,cages13aug,12
F,0.040106996622,2.5448,1.230117847481138,1015,33.03679,21.87,Low Fat,13:11:23,0.011959,0.0185,0.0381,0.1260867,0.1551015,2020-08-19,0.92266,cages13aug,13
F,0.039524876706,2.468241,1.2144590374599225,1015,33.01022,21.87,Low Fat,13:19:23,0.00747,0.0146,0.1121471,0.1246639,0.1513992,2020-08-19,0.92266,cages13aug,13
F,0.08812338994199999,2.686231,1.026361238096522,1015,33.02763,21.87,Low Fat,13:55:23,0.0123,0.016,0.028,0.2893377,0.296965,2020-08-19,0.92266,cages13aug,13
F,0.043160631023999994,2.768159,1.2654558197271437,1015,32.93584,21.87,Low Fat,14:11:23,0.00992,0.0149,0.0156,0.1346936,0.1704488,2020-08-19,0.92266,cages13aug,14
F,0.05056052106,2.692388,1.3532828025362624,1015,33.05322,21.87,Low Fat,14:51:23,0.0083,0.0175,0.0292,0.1549682,0.2097158,2020-08-19,0.92266,cages13aug,14
F,0.09272350693199999,3.096291,1.0038553109482333,1015,32.95549,21.87,Low Fat,15:15:23,0.0113,0.0111,0.0269,0.3059416,0.3071211,2020-08-19,0.92266,cages13aug,15
F,0.051550383485999995,2.860067,1.1019768390873281,1015,32.93478,21.87,Low Fat,15:39:23,0.00848,0.0128622,0.0301,0.1665133,0.1834938,2020-08-19,0.92266,cages13aug,15
F,0.032480851704,2.642102,1.2878181201894203,1015,32.85614,21.87,Low Fat,16:11:23,0.00825,0.02,0.0869056,0.1008974,0.1299375,2020-08-19,0.92266,cages13aug,16
F,0.061351422089999996,2.713986,1.2456095545082073,1015,32.94268,21.87,Low Fat,16:41:24,0.0105,0.0301,0.0327,0.1922527,0.2394718,2020-08-19,0.92266,cages13aug,16
F,0.09161836710599999,2.647368,1.1302089937655764,1015,32.99107,21.87,Low Fat,16:49:24,0.0137,0.0154,0.0553,0.2941571,0.332459,2020-08-19,0.92266,cages13aug,16
F,0.059148185964,2.551662,1.1749047388185063,1015,32.99012,21.87,Low Fat,17:25:24,0.00841,0.0185472,0.0246,0.1881144,0.2210165,2020-08-19,0.92266,cages13aug,17
F,0.06956096305199999,2.505918,1.0876572668882765,1015,32.95047,21.87,Low Fat,17:41:24,0.0115,0.0213,0.0333,0.2253812,0.2451375,2020-08-19,0.92266,cages13aug,17
F,0.067859087226,2.451166,1.2399674769405216,1015,32.92352,21.87,Low Fat,18:21:24,0.0095,0.0119,0.0254,0.2128951,0.263983,2020-08-19,0.92266,cages13aug,18
F,0.060278409240000004,2.453239,1.0564584623866238,1015,32.9328,21.87,Low Fat,18:45:24,0.00935,0.0202,0.0241,0.1966242,0.2077253,2020-08-19,0.92266,cages13aug,18
F,0.06254282202,2.412607,1.2866465837620764,1015,32.88382,21.87,Low Fat,19:09:24,0.00981,0.0183,0.0914,0.1943278,0.2500312,2020-08-19,0.92266,cages13aug,19
F,0.074800892754,2.267342,1.2912532381257953,1015,33.00115,21.87,Low Fat,19:41:24,0.0124,0.0242079,0.0266,0.2321945,0.2998219,2020-08-19,0.92266,cages13aug,19
F,0.158351840598,2.707153,1.0516800398245414,1015,32.90628,21.87,Low Fat,20:11:25,0.0226,0.0254,0.0342,0.5170681,0.5437902,2020-08-19,0.92266,cages13aug,20
F,0.13844313445199996,2.618725,1.1135255401473272,1015,31.1901,21.87,Low Fat,20:19:25,0.0201,0.031672,0.027,0.446082,0.4967237,2020-08-19,0.92266,cages13aug,20
F,0.208701104094,0.5588056,0.9371062936492547,1015,24.10923,21.87,Low Fat,20:55:25,0.0378,0.0405,0.0217,0.6988235,0.6548719,2020-08-19,0.92266,cages13aug,20
F,0.21578628052799997,-0.0389,1.0029480605485634,1015,21.52118,21.87,Low Fat,21:11:25,0.0368,0.0347,0.027,0.7121292,0.7142286,2020-08-19,0.92266,cages13aug,21
